setups,taken,directional_accuracy,win_rate,avg_gross_r_per_trade,avg_net_r_per_trade,total_return,max_drawdown,tp_exits,sl_exits,horizon_exits,other_exits,max_horizon,sl_atr_mult,rr,fee_bps,trade_penalty_bps,risk_per_trade
1073,1073,0.4762348555452004,0.4659832246039143,0.054049654051565574,-0.19089038059031735,-0.9872354072760184,-0.9878933400779965,456,528,89,0,3,0.5,1.25,2.0,2.0,0.02
1193,1193,0.5423302598491199,0.46353730092204526,0.053195156018297274,-0.09931630182244365,-0.9173761964430522,-0.92376691088124,125,217,851,0,1,0.8,1.25,2.0,2.0,0.02
1193,1193,0.5071248952221291,0.44341994970662196,0.05280491860505626,-0.19121341394012972,-0.9915297572189424,-0.9917975806388002,300,376,517,0,1,0.5,1.25,2.0,2.0,0.02
976,976,0.4969262295081967,0.4672131147540984,0.05058356524739209,-0.10248179994306346,-0.887328724613716,-0.8911579454748098,295,366,315,0,3,0.8,1.25,2.0,2.0,0.02
950,950,0.511578947368421,0.4747368421052632,0.04883615818798456,-0.07332867858623879,-0.7865728212190279,-0.8219060711812346,227,300,423,0,3,1.0,1.25,2.0,2.0,0.02
1105,1105,0.48778280542986424,0.4579185520361991,0.0466578834059627,-0.19829342741931186,-0.9902875953817606,-0.9906247679999157,417,498,190,0,2,0.5,1.25,2.0,2.0,0.02
1060,1060,0.5188679245283019,0.4679245283018868,0.0458119445756551,-0.10723670847836406,-0.912952374485187,-0.9144959668072745,244,322,494,0,2,0.8,1.25,2.0,2.0,0.02
1193,1193,0.5473595976529757,0.4694048616932104,0.04478646387822123,-0.10772499396251967,-0.9318247308535699,-0.9341193162673691,201,217,775,0,1,0.8,1.0,2.0,2.0,0.02
1043,1043,0.5292425695110259,0.473633748801534,0.040391263427007607,-0.08189150047000243,-0.841660990622783,-0.8645353269225402,174,252,617,0,2,1.0,1.25,2.0,2.0,0.02
1193,1193,0.5473595976529757,0.46437552388935455,0.039472778267968675,-0.08253638800462405,-0.8731338025183287,-0.8946666613652473,82,163,948,0,1,1.0,1.25,2.0,2.0,0.02
993,993,0.5196374622356495,0.4944612286002014,0.03501636628512855,-0.11829486415200621,-0.9188303041013529,-0.921925350323894,383,362,248,0,3,0.8,1.0,2.0,2.0,0.02
1193,1193,0.5498742665549036,0.4685666387259011,0.032695282862103575,-0.08931388341048914,-0.8914366320778737,-0.9048919951373606,127,163,903,0,1,1.0,1.0,2.0,2.0,0.02
1193,1193,0.5238893545683152,0.46689019279128247,0.032573674188914374,-0.2114446583562716,-0.9946676108077704,-0.994803504388867,407,376,410,0,1,0.5,1.0,2.0,2.0,0.02
1027,1027,0.572541382667965,0.555014605647517,0.03218290169560908,-0.12141122906764536,-0.9280165047830382,-0.9311756780974884,522,347,158,0,3,0.8,0.75,2.0,2.0,0.02
1067,1067,0.5323336457357076,0.4854732895970009,0.03163447649744358,-0.1216852769369308,-0.9358712472309938,-0.9373894021692083,335,317,415,0,2,0.8,1.0,2.0,2.0,0.02
1193,1193,0.5607711651299245,0.4878457669740151,0.02876400584217098,-0.12374745199856993,-0.952940033071648,-0.9540821610962583,343,217,633,0,1,0.8,0.75,2.0,2.0,0.02
958,958,0.524008350730689,0.4906054279749478,0.026042147519249624,-0.09643954408191613,-0.8622430852112494,-0.8785686984412616,300,298,360,0,3,1.0,1.0,2.0,2.0,0.02
1193,1193,0.559094719195306,0.4786253143336127,0.024149575849537343,-0.09785959042305538,-0.9108211696513724,-0.9146882485046973,240,163,790,0,1,1.0,0.75,2.0,2.0,0.02
1050,1050,0.5371428571428571,0.4819047619047619,0.02379899729994555,-0.09845770772515376,-0.8881290801994757,-0.9002388553461099,248,254,548,0,2,1.0,1.0,2.0,2.0,0.02
1081,1081,0.5642923219241444,0.5300647548566142,0.02047186552061179,-0.13303573769262744,-0.9505316090754687,-0.9522081687264655,475,311,295,0,2,0.8,0.75,2.0,2.0,0.02
1060,1060,0.5632075471698114,0.5160377358490567,0.020110101580618295,-0.10244457226087055,-0.8976191403619507,-0.9051656560761229,375,247,438,0,2,1.0,0.75,2.0,2.0,0.02
979,979,0.5587334014300307,0.5321756894790602,0.019632998472041713,-0.10340436905207623,-0.8823632758873539,-0.8964592307718219,418,286,275,0,3,1.0,0.75,2.0,2.0,0.02
1094,1094,0.5100548446069469,0.5036563071297989,0.019464716489517305,-0.22542626186539338,-0.9942470170041442,-0.9944818141701455,531,509,54,0,3,0.5,1.0,2.0,2.0,0.02
1120,1120,0.5107142857142857,0.4875,0.013251461682689638,-0.23194898201830014,-0.9955438674298535,-0.9956713150926991,495,483,142,0,2,0.5,1.0,2.0,2.0,0.02
1193,1193,0.5423302598491199,0.49874266554903607,-0.012605373794023565,-0.2566237063392095,-0.9981420813620437,-0.9981649830605733,518,376,299,0,1,0.5,0.75,2.0,2.0,0.02
1117,1117,0.5541629364368845,0.5487914055505819,-0.024084894016426307,-0.26947419126105987,-0.9979839400436279,-0.998030367502327,608,479,30,0,3,0.5,0.75,2.0,2.0,0.02
1138,1138,0.5492091388400703,0.5307557117750439,-0.029857572310490386,-0.27546723435640824,-0.9984242972347566,-0.9984486962963233,582,464,92,0,2,0.5,0.75,2.0,2.0,0.02
